logit(P[Y=2|1<=Y<=2]) logit(P[Y=3|2<=Y<=3]) logit(P[Y=4|3<=Y<=4])
 2.1376274633 -2.2152849266 -3.6693308123
-0.8512248928 -0.8512248928 -0.8512248928
 0.2518752236  0.2518752236  0.2518752236
 0.0883601959  0.0883601959  0.0883601959
 0.2271426632  0.2271426632  0.2271426632
-0.1876053460 -0.1876053460 -0.1876053460
 0.1513022718  0.1513022718  0.1513022718
 0.1466543409  0.1466543409  0.1466543409
 0.0372015124  0.0372015124  0.0372015124
 0.1468063946  0.1468063946  0.1468063946
 0.1298267852  0.1298267852  0.1298267852
-0.3032980268 -0.3032980268 -0.3032980268
 0.1642196620  0.1642196620  0.1642196620
-0.0322634632 -0.0322634632 -0.0322634632
-0.6959065397 -0.6959065397 -0.6959065397
-0.2689238196 -0.2689238196 -0.2689238196
 0.1145628345  0.1145628345  0.1145628345
-0.1229785448 -0.1229785448 -0.1229785448
-0.1065909054 -0.1065909054 -0.1065909054
 0.1947126694  0.1947126694  0.1947126694
-0.2251011327 -0.2251011327 -0.2251011327
-0.2606908948 -0.2606908948 -0.2606908948
 0.0991513151  0.0991513151  0.0991513151
-0.2184202491 -0.2184202491 -0.2184202491
 0.4945699647  0.4945699647  0.4945699647
-0.2310008944 -0.2310008944 -0.2310008944
 0.1886146361  0.1886146361  0.1886146361
 0.0802015498  0.0802015498  0.0802015498
 0.0000000000  0.0000000000  0.0000000000
 0.1383553005  0.1383553005  0.1383553005
 0.2369513691  0.2369513691  0.2369513691
-0.0960269896 -0.0960269896 -0.0960269896
 0.0000000000  0.0000000000  0.0000000000
 0.1087356870  0.1087356870  0.1087356870
 0.3302449889  0.3302449889  0.3302449889
-0.0636878180 -0.0636878180 -0.0636878180
-0.1554750895 -0.1554750895 -0.1554750895
 0.0000000000  0.0000000000  0.0000000000
 0.1935902974  0.1935902974  0.1935902974
-0.4328176775 -0.4328176775 -0.4328176775
-0.2100249283 -0.2100249283 -0.2100249283
 0.0293477514  0.0293477514  0.0293477514
 0.1525385868  0.1525385868  0.1525385868
 0.1398687309  0.1398687309  0.1398687309
 0.1841888297  0.1841888297  0.1841888297
-0.0676834826 -0.0676834826 -0.0676834826
 0.1424535942  0.1424535942  0.1424535942
 0.0762936744  0.0762936744  0.0762936744
 0.2118213036  0.2118213036  0.2118213036
-0.0547420620 -0.0547420620 -0.0547420620
 0.2568069837  0.2568069837  0.2568069837
 0.1734695377  0.1734695377  0.1734695377
 0.0879207453  0.0879207453  0.0879207453
-0.1491938846 -0.1491938846 -0.1491938846
-0.2368640271 -0.2368640271 -0.2368640271
 0.1095332320  0.1095332320  0.1095332320
-0.3188748383 -0.3188748383 -0.3188748383
 0.2447082308  0.2447082308  0.2447082308
-0.2842136449 -0.2842136449 -0.2842136449
 0.1359566617  0.1359566617  0.1359566617
 0.0000000000  0.0000000000  0.0000000000
 0.0000000000  0.0000000000  0.0000000000
-0.0325526753 -0.0325526753 -0.0325526753
-0.1551919610 -0.1551919610 -0.1551919610
 0.3859088454  0.3859088454  0.3859088454
 0.1466789127  0.1466789127  0.1466789127
-0.0737097167 -0.0737097167 -0.0737097167
-0.0735583208 -0.0735583208 -0.0735583208
-0.2248901926 -0.2248901926 -0.2248901926
 0.0390522344  0.0390522344  0.0390522344
-0.2231964373 -0.2231964373 -0.2231964373
-0.1243887098 -0.1243887098 -0.1243887098
-0.1986033132 -0.1986033132 -0.1986033132
-0.1092916281 -0.1092916281 -0.1092916281
-0.1780437436 -0.1780437436 -0.1780437436
 0.3468752471  0.3468752471  0.3468752471
 0.6474705605  0.6474705605  0.6474705605
 0.0000000000  0.0000000000  0.0000000000
-0.1307897064 -0.1307897064 -0.1307897064
-0.1461068160 -0.1461068160 -0.1461068160
-0.0887837269 -0.0887837269 -0.0887837269
-0.2832401985 -0.2832401985 -0.2832401985
-0.0374402032 -0.0374402032 -0.0374402032
 0.1391861307  0.1391861307  0.1391861307
 0.0000000000  0.0000000000  0.0000000000
-0.1410268148 -0.1410268148 -0.1410268148
 0.2473392411  0.2473392411  0.2473392411
 0.1280082327  0.1280082327  0.1280082327
-0.0752887201 -0.0752887201 -0.0752887201
-0.2085785389 -0.2085785389 -0.2085785389
 0.1890897878  0.1890897878  0.1890897878
-0.0075752443 -0.0075752443 -0.0075752443
-0.0842847073 -0.0842847073 -0.0842847073
-0.2100293310 -0.2100293310 -0.2100293310
 0.2343591477  0.2343591477  0.2343591477
-0.1719695192 -0.1719695192 -0.1719695192
 0.0000000000  0.0000000000  0.0000000000
 0.0000000000  0.0000000000  0.0000000000
 0.0738531365  0.0738531365  0.0738531365
 0.0000000000  0.0000000000  0.0000000000
-0.1559597041 -0.1559597041 -0.1559597041
-0.2046753572 -0.2046753572 -0.2046753572
 0.1862469849  0.1862469849  0.1862469849
 0.2888841268  0.2888841268  0.2888841268
-0.1884816110 -0.1884816110 -0.1884816110
-0.2031733209 -0.2031733209 -0.2031733209
 0.1088680586  0.1088680586  0.1088680586
 0.1207785232  0.1207785232  0.1207785232
 0.2467773083  0.2467773083  0.2467773083
-0.2009014512 -0.2009014512 -0.2009014512
 0.2104709667  0.2104709667  0.2104709667
-0.1524109495 -0.1524109495 -0.1524109495
-0.0504265479 -0.0504265479 -0.0504265479
 0.0000000000  0.0000000000  0.0000000000
 0.2083421776  0.2083421776  0.2083421776
 0.0000000000  0.0000000000  0.0000000000
 0.1248401150  0.1248401150  0.1248401150
-0.1751457335 -0.1751457335 -0.1751457335
-0.0931942188 -0.0931942188 -0.0931942188
 0.0815834638  0.0815834638  0.0815834638
-0.1603152176 -0.1603152176 -0.1603152176
 0.0000000000  0.0000000000  0.0000000000
 0.1491850067  0.1491850067  0.1491850067
-0.0217236704 -0.0217236704 -0.0217236704
-0.0846099600 -0.0846099600 -0.0846099600
 0.1725767246  0.1725767246  0.1725767246
 0.1003567630  0.1003567630  0.1003567630
 0.2435343798  0.2435343798  0.2435343798
 0.1377381295  0.1377381295  0.1377381295
-0.1680377669 -0.1680377669 -0.1680377669
 0.0865712419  0.0865712419  0.0865712419
 0.0637234858  0.0637234858  0.0637234858
 0.1256343451  0.1256343451  0.1256343451
 0.1373321373  0.1373321373  0.1373321373
 0.1858831463  0.1858831463  0.1858831463
-0.0659539656 -0.0659539656 -0.0659539656
-0.2128423711 -0.2128423711 -0.2128423711
 0.1629501920  0.1629501920  0.1629501920
 0.0742320278  0.0742320278  0.0742320278
 0.1027483459  0.1027483459  0.1027483459
-0.2118997824 -0.2118997824 -0.2118997824
-0.1274006621 -0.1274006621 -0.1274006621
 0.1606921401  0.1606921401  0.1606921401
-0.1879259943 -0.1879259943 -0.1879259943
 0.0000000000  0.0000000000  0.0000000000
-0.1729772083 -0.1729772083 -0.1729772083
-0.1068463488 -0.1068463488 -0.1068463488
-0.0912374969 -0.0912374969 -0.0912374969
-0.2452140671 -0.2452140671 -0.2452140671
 0.1741161088  0.1741161088  0.1741161088
 0.0000000000  0.0000000000  0.0000000000
-0.4242347123 -0.4242347123 -0.4242347123
-0.0388250820 -0.0388250820 -0.0388250820
 0.0790937300  0.0790937300  0.0790937300
 0.1995890263  0.1995890263  0.1995890263
 0.0294062500  0.0294062500  0.0294062500
 0.1215022041  0.1215022041  0.1215022041
 0.5266179379  0.5266179379  0.5266179379
-0.2744932497 -0.2744932497 -0.2744932497
-0.2052719980 -0.2052719980 -0.2052719980
-0.0968940274 -0.0968940274 -0.0968940274
-0.1112856959 -0.1112856959 -0.1112856959
 0.1731504150  0.1731504150  0.1731504150
-0.2192374201 -0.2192374201 -0.2192374201
-0.1930973663 -0.1930973663 -0.1930973663
 0.0000000000  0.0000000000  0.0000000000
 0.0000000000  0.0000000000  0.0000000000
-0.1913444050 -0.1913444050 -0.1913444050
 0.0424195492  0.0424195492  0.0424195492
 0.0000000000  0.0000000000  0.0000000000
-0.1946808939 -0.1946808939 -0.1946808939
 0.2513267341  0.2513267341  0.2513267341
-0.1591056425 -0.1591056425 -0.1591056425
-0.0757016420 -0.0757016420 -0.0757016420
-0.1620082039 -0.1620082039 -0.1620082039
-0.1432137174 -0.1432137174 -0.1432137174
-0.1622753352 -0.1622753352 -0.1622753352
 0.1313991489  0.1313991489  0.1313991489
 0.4171934420  0.4171934420  0.4171934420
 0.1347937662  0.1347937662  0.1347937662
 0.1945745618  0.1945745618  0.1945745618
-0.1411766891 -0.1411766891 -0.1411766891
-0.0869871342 -0.0869871342 -0.0869871342
 0.1800362691  0.1800362691  0.1800362691
 0.6002488167  0.6002488167  0.6002488167
-0.1529299710 -0.1529299710 -0.1529299710
 0.4202683893  0.4202683893  0.4202683893
-0.2757475332 -0.2757475332 -0.2757475332
-0.3136232985 -0.3136232985 -0.3136232985
 0.1525205540  0.1525205540  0.1525205540
-0.1859486324 -0.1859486324 -0.1859486324
 0.1800542931  0.1800542931  0.1800542931
 0.2795608434  0.2795608434  0.2795608434
 0.1092230897  0.1092230897  0.1092230897
-0.6570804769 -0.6570804769 -0.6570804769
 0.1541808969  0.1541808969  0.1541808969
-0.2553423120 -0.2553423120 -0.2553423120
-0.1242602601 -0.1242602601 -0.1242602601
-0.0998927619 -0.0998927619 -0.0998927619
-0.1770070451 -0.1770070451 -0.1770070451
-0.0800173559 -0.0800173559 -0.0800173559
-0.1673600829 -0.1673600829 -0.1673600829
 0.0882778118  0.0882778118  0.0882778118
-0.0834100781 -0.0834100781 -0.0834100781
 0.2152943923  0.2152943923  0.2152943923
 0.0000000000  0.0000000000  0.0000000000
 0.0000000000  0.0000000000  0.0000000000
 0.1437145119  0.1437145119  0.1437145119
 0.1779406145  0.1779406145  0.1779406145
 0.1663610816  0.1663610816  0.1663610816
 0.6187062974  0.6187062974  0.6187062974
-0.1302227618 -0.1302227618 -0.1302227618
 0.0505661775  0.0505661775  0.0505661775
 0.1255839537  0.1255839537  0.1255839537
 0.0000000000  0.0000000000  0.0000000000
-0.0682002195 -0.0682002195 -0.0682002195
 0.6566804912  0.6566804912  0.6566804912
-0.2601092272 -0.2601092272 -0.2601092272
 0.0000000000  0.0000000000  0.0000000000
-0.1132242086 -0.1132242086 -0.1132242086
-0.1930367517 -0.1930367517 -0.1930367517
-0.2144758192 -0.2144758192 -0.2144758192
 0.3814899144  0.3814899144  0.3814899144
 0.0000000000  0.0000000000  0.0000000000
-0.4860564232 -0.4860564232 -0.4860564232
 0.1779571843  0.1779571843  0.1779571843
-0.0452250681 -0.0452250681 -0.0452250681
-0.1819370490 -0.1819370490 -0.1819370490
 0.1309665515  0.1309665515  0.1309665515
 0.1684999363  0.1684999363  0.1684999363
-0.0883439493 -0.0883439493 -0.0883439493
-0.3071312268 -0.3071312268 -0.3071312268
-0.2394920799 -0.2394920799 -0.2394920799
 0.2011098821  0.2011098821  0.2011098821
 0.2237074753  0.2237074753  0.2237074753
 0.0332461238  0.0332461238  0.0332461238
-0.5416968950 -0.5416968950 -0.5416968950
 0.0553552927  0.0553552927  0.0553552927
-0.0823896420 -0.0823896420 -0.0823896420
-0.0523335604 -0.0523335604 -0.0523335604
-0.2438128517 -0.2438128517 -0.2438128517
-0.3034416924 -0.3034416924 -0.3034416924
-0.1084093993 -0.1084093993 -0.1084093993
 0.0016042599  0.0016042599  0.0016042599
 0.0000000000  0.0000000000  0.0000000000
 0.3078669813  0.3078669813  0.3078669813
-0.1064141043 -0.1064141043 -0.1064141043
 0.0838836799  0.0838836799  0.0838836799
-0.5069416510 -0.5069416510 -0.5069416510
-0.0155745281 -0.0155745281 -0.0155745281
 0.4238420913  0.4238420913  0.4238420913
-0.0072995333 -0.0072995333 -0.0072995333
-0.2409612069 -0.2409612069 -0.2409612069
 0.1521428906  0.1521428906  0.1521428906
 0.0882541996  0.0882541996  0.0882541996
-0.0950016230 -0.0950016230 -0.0950016230
-0.0773461002 -0.0773461002 -0.0773461002
 0.1926994956  0.1926994956  0.1926994956
 0.3010644346  0.3010644346  0.3010644346
-0.2199843522 -0.2199843522 -0.2199843522
-0.2275149420 -0.2275149420 -0.2275149420
-0.1175361694 -0.1175361694 -0.1175361694
 0.0215720296  0.0215720296  0.0215720296
-0.0002795473 -0.0002795473 -0.0002795473
 0.1343422562  0.1343422562  0.1343422562
 0.0612683424  0.0612683424  0.0612683424
 0.1071694218  0.1071694218  0.1071694218
